Ville,Date_appel,Date_Rendez_vous,Dlai_rendez_vous,Tarif,Dpassement_honoraires,lat,lon
ALENCON,04/10/2012,29/11/2012,56,28,0,48.4312059,0.0911374
ARC LES GRAY,04/10/2012,05/10/2012,1,28,0,47.4575385,5.5818459
AUXERRE,05/10/2012,19/10/2012,14,35,7,47.7954001,3.58452
AVIGNON,02/10/2012,15/10/2012,13,40,12,43.9493143,4.8060329
BAR LE DUC,08/10/2012,11/10/2012,3,37,9,48.7736785,5.1621546
BESANCON,04/10/2012, 10/10/2012,6,36,8,47.237953,6.0243246
BETHUNE,04/10/2012,17/12/2012,74,28,0,50.5199,2.64781
BETHUNE,04/10/2012,05/10/2012,1,28,0,50.5199,2.64781
BEZIERS,04/10/2012,29/10/2012,25,40,12,43.341279,3.2166203
BOURGES,04/10/2012,29/11/2012,56,28,0,47.0805693,2.398932
BOURGES,04/10/2012,15/10/2012,11,40,12,47.0805693,2.398932
CERGY,05/10/2012,05/10/2012,0,28,0,49.0527528,2.0388736
CERGY,05/10/2012,17/10/2012,12,28,0,49.0527528,2.0388736
CERGY,05/10/2012,11/10/2012,6,55,27,49.0527528,2.0388736
CHALLANS,04/10/2012,15/10/2012,11,28,0,46.847943,-1.8773787
CHATEAUBRIANT,04/10/2012,17/10/2012,13,28,0,47.7194057,-1.3757282
CHOLET,09/10/2012,24/10/2012,15,28,0,47.0617293,-0.8801349
COULOMMIERS,05/10/2012,05/10/2012,0,40,12,48.8094622,3.0848082
CREIL,08/10/2012,25/10/2012,17,28,0,49.2635045,2.4737043
CREIL,08/10/2012,09/10/2012,1,28,0,49.2635045,2.4737043
DAX,08/10/2012,12/10/2012,4,35,7,43.7080596,-1.0533076
DOLE,09/10/2012,14/11/2012,36,28,0,47.0921047,5.4925463
DOUAI,04/10/2012,06/11/2012,33,28,0,50.3703683,3.0761377
DRAGUIGNAN,02/10/2012,04/12/2012,63,28,0,43.5398458,6.4655798
DRAGUIGNAN,02/10/2012,18/12/2012,77,36.5,8.5,43.5398458,6.4655798
FECAMP,04/10/2012,24/10/2012,20,28,0,49.7577729,0.374891
GRASSE,04/10/2012,08/10/2012,4,28,0,43.6589011,6.9239103
GRASSE,04/10/2012,12/10/2012,8,28,0,43.6589011,6.9239103
GRASSE CEDEX,04/10/2012,12/11/2012,39,50,22,NaN,NaN
GRENOBLE,04/10/2012,08/10/2012,4,35,7,45.182478,5.7210773
GRENOBLE,04/10/2012,16/10/2012,12,39,11,45.182478,5.7210773
L ISLE ADAM,04/10/2012,05/10/2012,1,28,0,45.24957,-83.5691599
LA ROCHE SUR YON,09/10/2012,12/11/2012,34,28,0,46.6705431,-1.4269698
LA ROCHE SUR YON,09/10/2012,04/12/2012,56,28,0,46.6705431,-1.4269698
LA ROCHE SUR YON,09/10/2012,25/10/2012,16,28,0,46.6705431,-1.4269698
LAGNY SUR MARNE,08/10/2012,07/11/2012,30,40,12,48.8735584,2.7121663
LAGNY SUR MARNE,08/10/2012,22/10/2012,14,40,12,48.8735584,2.7121663
LE VESINET,04/10/2012,15/11/2012,42,28,0,48.8944,2.12974
LE VESINET,04/10/2012,09/10/2012,5,45,17,48.8944,2.12974
LILLE,09/10/2012,12/11/2012,34,28,0,50.6305089,3.0706414
LILLE,09/10/2012,12/10/2012,3,28,0,50.6305089,3.0706414
MAGNY LE HONGRE,08/10/2012,26/11/2012,49,47.5,19.5,48.8631156,2.8135257
MAGNY LE HONGRE,08/10/2012,09/10/2012,1,45,17,48.8631156,2.8135257
MAUBEUGE,09/10/2012,05/11/2012,27,28,0,50.2785567,3.9743784
MAUBEUGE,09/10/2012,23/10/2012,14,40,12,50.2785567,3.9743784
MAUREPAS,08/10/2012,09/10/2012,1,50,22,48.0497241,2.5035279
MEAUX,05/10/2012,07/11/2012,33,28,0,48.9589146,2.8964865
MEAUX,08/10/2012,26/10/2012,18,40,12,48.9589146,2.8964865
MELUN,09/10/2012,14/11/2012,36,28,0,48.5353807,2.6591996
MELUN,08/10/2012,16/10/2012,8,28,0,48.5353807,2.6591996
MEYZIEU,08/10/2012,05/11/2012,28,28,0,45.7764637,5.0044767
MONTPELLIER,04/10/2012,05/10/2012,1,35,7,43.6112422,3.8767337
MONTPELLIER,04/10/2012,31/10/2012,27,38,10,43.6112422,3.8767337
MONTPELLIER,04/10/2012,08/10/2012,4,35,7,43.6112422,3.8767337
MONTPELLIER,04/10/2012,02/01/2013,90,37,9,43.6112422,3.8767337
MULHOUSE,04/10/2012,17/10/2012,13,28,0,47.7494188,7.3399355
MULHOUSE,08/10/2012,19/10/2012,11,50,22,47.7494188,7.3399355
NIMES,04/10/2012,07/10/2012,3,40,12,43.8374249,4.3600687
NIMES,04/10/2012,12/10/2012,8,40,12,43.8374249,4.3600687
NIMES,04/10/2012,11/10/2012,7,75,47,43.8374249,4.3600687
NIORT,09/10/2012,31/10/2012,22,28,0,46.3239455,-0.4645212
ORANGE,09/10/2012,20/11/2012,42,28,0,33.7500378,-117.8704931
PARIS,02/10/2012,04/10/2012,2,28,0,48.8565056,2.3521334
PARIS,02/10/2012,08/10/2012,6,28,0,48.8565056,2.3521334
PARIS,02/10/2012,03/10/2012,1,28,0,48.8565056,2.3521334
PARIS,02/10/2012,09/10/2012,7,52.5,24.5,48.8565056,2.3521334
PARIS,02/10/2012,04/10/2012,2,35,7,48.8565056,2.3521334
PARIS,02/10/2012,03/10/2012,1,36.5,8.5,48.8565056,2.3521334
PARIS,02/10/2012,16/10/2012,14,50,22,48.8565056,2.3521334
PERIGUEUX,04/10/2012,12/11/2012,39,28,0,45.1909365,0.7184407
PERIGUEUX,04/10/2012,24/10/2012,20,33,5,45.1909365,0.7184407
REIMS,09/10/2012,09/10/2012,0,28,0,49.2577886,4.031926
RENNES,04/10/2012,12/10/2012,8,42,14,48.1113589,-1.680009
RIXHEIM,05/10/2012,09/10/2012,4,45,17,47.7514903,7.4096138
RODEZ,08/10/2012,19/10/2012,11,28,0,44.3510012,2.5733006
SALLANCHES,08/10/2012,07/11/2012,30,35,7,45.9361246,6.6302551
SARREGUEMINES,09/10/2012,11/10/2012,2,28,0,49.1091944,7.0695021
SARREGUEMINES,09/10/2012,14/11/2012,36,28,0,49.1091944,7.0695021
SELESTAT,09/10/2012,19/10/2012,10,28,0,48.2594396,7.454217
SELESTAT,09/10/2012,16/10/2012,7,28,0,48.2594396,7.454217
SENS,08/10/2012,11/10/2012,3,28,0,48.1978559,3.282606
SENS,08/10/2012,29/10/2012,21,28,0,48.1978559,3.282606
ST AUBIN LES ELBEUF,04/10/2012,20/11/2012,47,28,0,49.3027,1.0197
SUCY EN BRIE,08/10/2012,16/11/2012,39,28,0,48.7711323,2.5221284
THIONVILLE,09/10/2012,13/11/2012,35,28,0,49.3591614,6.1529769
TOULOUSE,02/10/2012,03/10/2012,1,45.5,17.5,43.6044622,1.4442469
TROYES,05/10/2012,08/10/2012,3,41,13,48.2971626,4.0746257
VALENCIENNES,09/10/2012,10/10/2012,1,28,0,50.3594889,3.5266657
VALENCIENNES,09/10/2012,15/10/2012,6,28,0,50.3594889,3.5266657
VENCE,08/10/2012,22/10/2012,14,28,0,43.7238572,7.112377
VILLENOY,04/10/2012,05/10/2012,1,28,0,48.9412182,2.8596553
VILLEPINTE,08/10/2012,13/10/2012,5,28,0,48.9636566,2.5347541
VITROLLES,04/10/2012,30/10/2012,26,50,22,43.4593696,5.2482643
WARLUS,05/10/2012,08/10/2012,3,37,9,50.275547,2.6688463
